promotion_id,campaign_name,promo_type,discount_value,min_order_value,start_date,end_date,campaign_duration_days,target_segment,campaign_channel,campaign_objective,target_category,expected_response_rate,budget_allocated,cost_per_acquisition
47,Acquisition_Percentage_Discount_47,Percentage_Discount,9.1,0.0,2024-10-24 00:09:32.247343,2024-11-15 00:09:32.247343,22,High_Value,SMS,Acquisition,,0.176,15355.08,34.0
48,Upsell_Fixed_Amount_48,Fixed_Amount,99.65,4.87,2024-09-17 12:34:14.909440,2024-09-28 12:34:14.909440,11,New_Customer,Push,Upsell,Books,0.183,26762.18,26.6
49,Reactivation_Percentage_Discount_49,Percentage_Discount,7.2,0.0,2024-10-20 11:48:37.440645,2024-11-21 11:48:37.440645,32,Lapsed,Email,Reactivation,,0.068,14376.42,5.28
50,Acquisition_Fixed_Amount_50,Fixed_Amount,44.72,26.23,2024-12-04 20:33:05.867468,2025-01-29 20:33:05.867468,56,Lapsed,Email,Acquisition,Books,0.213,41484.73,36.46
51,Reactivation_BOGO_51,BOGO,0.0,75.49,2025-02-27 11:27:49.780562,2025-03-22 11:27:49.780562,23,New_Customer,SMS,Reactivation,Home,0.074,39601.4,8.63
52,Reactivation_Fixed_Amount_52,Fixed_Amount,7.16,36.12,2024-10-15 14:39:06.665772,2024-12-11 14:39:06.665772,57,New_Customer,Social,Reactivation,,0.097,17608.17,8.51
53,Upsell_BOGO_53,BOGO,0.0,76.62,2024-12-24 05:31:09.600309,2024-12-27 05:31:09.600309,3,High_Value,Website_Banner,Upsell,,0.052,16268.16,19.07
54,Upsell_BOGO_54,BOGO,0.0,59.14,2024-10-13 02:26:40.041560,2024-11-02 02:26:40.041560,20,New_Customer,Email,Upsell,Electronics,0.128,7878.22,21.59
55,Upsell_Fixed_Amount_55,Fixed_Amount,75.41,15.62,2024-08-14 15:40:25.342351,2024-09-02 15:40:25.342351,19,Low_Value,Social,Upsell,,0.058,20902.62,15.97
56,Reactivation_BOGO_56,BOGO,0.0,0.0,2024-08-25 03:13:34.547140,2024-10-10 03:13:34.547140,46,Low_Value,Push,Reactivation,Sports,0.221,2511.57,30.97
57,Acquisition_Free_Shipping_57,Free_Shipping,0.0,12.85,2025-03-16 10:34:59.643035,2025-04-13 10:34:59.643035,28,Medium_Value,Social,Acquisition,,0.155,19109.03,25.62
58,Cross_Sell_BOGO_58,BOGO,0.0,0.0,2025-06-06 00:30:05.445679,2025-06-15 00:30:05.445679,9,New_Customer,In_App,Cross_Sell,Beauty,0.074,4773.34,5.45
59,Retention_BOGO_59,BOGO,0.0,0.0,2025-07-17 16:29:20.958683,2025-07-21 16:29:20.958683,4,All_Customers,SMS,Retention,,0.196,39702.58,20.65
60,Reactivation_Percentage_Discount_60,Percentage_Discount,9.1,56.51,2024-12-07 11:45:59.963680,2024-12-26 11:45:59.963680,19,Lapsed,Email,Reactivation,,0.174,17106.01,11.74
61,Upsell_Fixed_Amount_61,Fixed_Amount,33.46,11.56,2025-05-25 06:40:27.480991,2025-06-02 06:40:27.480991,8,Medium_Value,Social,Upsell,,0.098,44068.24,28.27
62,Cross_Sell_Fixed_Amount_62,Fixed_Amount,6.36,24.63,2024-11-28 21:38:58.586979,2024-12-16 21:38:58.586979,18,All_Customers,Push,Cross_Sell,,0.118,1371.5,41.59
63,Cross_Sell_Fixed_Amount_63,Fixed_Amount,66.27,65.23,2025-06-20 20:53:38.315139,2025-07-06 20:53:38.315139,16,Low_Value,Website_Banner,Cross_Sell,,0.216,11599.16,21.09
64,Cross_Sell_Percentage_Discount_64,Percentage_Discount,43.9,34.89,2024-10-07 07:47:31.591399,2024-10-28 07:47:31.591399,21,Medium_Value,Website_Banner,Cross_Sell,Electronics,0.198,5982.76,19.22
65,Reactivation_BOGO_65,BOGO,0.0,98.37,2024-07-17 20:57:06.522055,2024-08-19 20:57:06.522055,33,Low_Value,Push,Reactivation,,0.11,18178.99,49.88
66,Retention_BOGO_66,BOGO,0.0,89.22,2024-12-04 03:35:54.631069,2024-12-14 03:35:54.631069,10,High_Value,Push,Retention,Home,0.089,43412.34,41.78
67,Upsell_Fixed_Amount_67,Fixed_Amount,33.13,85.48,2025-03-15 21:02:28.316562,2025-04-01 21:02:28.316562,17,Low_Value,Website_Banner,Upsell,Beauty,0.091,11253.22,29.88
68,Reactivation_Fixed_Amount_68,Fixed_Amount,58.06,77.27,2025-05-15 00:31:47.945573,2025-07-02 00:31:47.945573,48,All_Customers,Email,Reactivation,Beauty,0.108,48125.01,15.16
69,Reactivation_Free_Shipping_69,Free_Shipping,0.0,0.0,2025-03-18 19:13:32.365447,2025-04-22 19:13:32.365447,35,Low_Value,SMS,Reactivation,Electronics,0.106,5626.91,25.08
70,Cross_Sell_Fixed_Amount_70,Fixed_Amount,36.69,78.53,2025-07-04 20:30:18.344211,2025-07-19 20:30:18.344211,15,Medium_Value,Push,Cross_Sell,,0.171,45565.38,33.28
71,Reactivation_Fixed_Amount_71,Fixed_Amount,9.8,51.87,2025-02-14 16:16:21.070168,2025-01-14 16:16:21.070168,31,Lapsed,In_App,Reactivation,,0.211,10570.74,7.91
72,Reactivation_Free_Shipping_72,Free_Shipping,0.0,75.76,2024-11-26 18:05:50.227073,2025-01-04 18:05:50.227073,39,New_Customer,SMS,Reactivation,,0.117,21840.01,35.81
73,Upsell_Fixed_Amount_73,Fixed_Amount,32.01,,2025-02-09 18:19:34.824438,2025-02-27 18:19:34.824438,18,Medium_Value,Social,Upsell,,0.064,25785.55,40.06
74,Retention_Fixed_Amount_74,Fixed_Amount,43.09,51.12,2024-08-25 00:30:36.728440,2024-09-01 00:30:36.728440,7,Lapsed,Website_Banner,Retention,,0.201,4855.81,18.82
75,Cross_Sell_Free_Shipping_75,Free_Shipping,0.0,92.68,2024-10-28 23:55:05.003263,2024-11-06 23:55:05.003263,9,Low_Value,In_App,Cross_Sell,,0.242,14556.37,40.2
76,Acquisition_Free_Shipping_76,Free_Shipping,0.0,50.26,2025-01-10 09:54:15.846496,2025-02-17 09:54:15.846496,38,Medium_Value,Email,Acquisition,Books,0.077,41328.43,38.72
77,Acquisition_Free_Shipping_77,Free_Shipping,0.0,27.63,2024-07-23 08:09:53.743591,2024-09-13 08:09:53.743591,52,All_Customers,SMS,Acquisition,Clothing,0.202,8416.79,46.96
78,Reactivation_BOGO_78,BOGO,0.0,97.5,2025-05-14 12:59:40.714389,2025-07-11 12:59:40.714389,58,Lapsed,Email,Reactivation,Sports,0.078,14945.83,26.82
79,Reactivation_Free_Shipping_79,Free_Shipping,0.0,0.0,2025-08-18 19:12:44.288677,2025-09-10 19:12:44.288677,23,Low_Value,SMS,Reactivation,,0.131,21501.44,13.64
80,Cross_Sell_BOGO_80,BOGO,0.0,10.54,2025-04-19 21:37:11.009868,2025-05-08 21:37:11.009868,19,All_Customers,Push,Cross_Sell,,0.189,45866.95,39.74
81,Upsell_BOGO_81,BOGO,0.0,0.0,2024-11-11 08:42:12.758933,2024-11-27 08:42:12.758933,16,Low_Value,Email,Upsell,Home,0.17,20669.45,27.45
82,Reactivation_Percentage_Discount_82,Percentage_Discount,46.7,56.47,2024-10-30 23:10:21.902000,2024-12-16 23:10:21.902000,47,All_Customers,Website_Banner,Reactivation,,0.078,16079.87,22.32
83,Reactivation_Fixed_Amount_83,Fixed_Amount,79.4,0.0,2024-10-22 02:20:03.539332,2024-12-06 02:20:03.539332,45,Low_Value,Social,Reactivation,Clothing,0.175,15086.65,20.78
84,Cross_Sell_Percentage_Discount_84,Percentage_Discount,5.4,86.5,2024-09-30 23:19:23.450585,2024-10-12 23:19:23.450585,12,All_Customers,SMS,Cross_Sell,Clothing,0.206,8064.75,24.27
85,Retention_Fixed_Amount_85,Fixed_Amount,34.43,28.5,2025-07-15 14:40:45.207697,2025-08-05 14:40:45.207697,21,Lapsed,Social,Retention,Beauty,0.103,42621.87,43.11
86,Cross_Sell_Free_Shipping_86,Free_Shipping,0.0,87.54,2025-04-28 15:52:38.338347,2025-05-14 15:52:38.338347,16,All_Customers,Email,Cross_Sell,Books,0.24,21392.09,29.07
87,Upsell_Free_Shipping_87,Free_Shipping,0.0,52.39,2024-10-06 17:14:14.387390,2024-10-18 17:14:14.387390,12,All_Customers,Website_Banner,Upsell,,0.235,19121.5,11.09
88,Reactivation_Fixed_Amount_88,Fixed_Amount,73.88,97.18,2025-04-17 13:40:40.863046,2025-06-09 13:40:40.863046,53,Low_Value,SMS,Reactivation,Electronics,0.091,2794.71,24.34
89,Acquisition_Free_Shipping_89,Free_Shipping,0.0,0.0,2024-10-20 10:46:37.319885,2024-11-13 10:46:37.319885,24,High_Value,SMS,Acquisition,,0.081,23254.25,19.91
90,Upsell_Fixed_Amount_90,Fixed_Amount,21.91,52.63,2025-04-16 12:42:29.557559,2025-05-01 12:42:29.557559,15,Medium_Value,Website_Banner,Upsell,Beauty,0.198,28620.47,37.22
91,Retention_Free_Shipping_91,Free_Shipping,0.0,65.44,2024-11-13 14:18:36.831929,2024-11-23 14:18:36.831929,10,Medium_Value,Website_Banner,Retention,,0.136,12150.75,10.8
92,Acquisition_Fixed_Amount_92,Fixed_Amount,25.24,0.0,2025-05-13 17:58:38.886980,2025-06-29 17:58:38.886980,47,Lapsed,Social,Acquisition,,0.153,17605.65,46.75
93,Reactivation_BOGO_93,BOGO,0.0,55.8,2025-02-17 21:56:38.502625,2025-03-03 21:56:38.502625,14,Lapsed,Push,Reactivation,Clothing,0.164,36325.3,42.34
94,Upsell_Fixed_Amount_94,Fixed_Amount,73.42,11.35,2025-01-31 18:16:47.041826,2025-02-10 18:16:47.041826,10,New_Customer,Email,Upsell,,0.223,8055.02,15.34
95,Reactivation_Percentage_Discount_95,Percentage_Discount,24.1,32.93,2024-10-08 23:44:17.170153,2024-11-26 23:44:17.170153,49,Low_Value,In_App,Reactivation,Sports,0.182,1322.85,19.67
96,Reactivation_Fixed_Amount_96,Fixed_Amount,95.81,20.02,2024-11-19 20:29:24.030270,2024-12-08 20:29:24.030270,19,Low_Value,SMS,Reactivation,,0.25,18605.29,42.96
97,Reactivation_BOGO_97,BOGO,0.0,77.39,2025-02-27 02:50:19.916690,2025-03-19 02:50:19.916690,20,Lapsed,Social,Reactivation,,0.178,7539.65,16.22
98,Reactivation_BOGO_98,BOGO,0.0,81.88,2025-05-25 10:02:46.234746,2025-07-18 10:02:46.234746,54,Low_Value,SMS,Reactivation,,0.245,25793.99,31.95
99,Reactivation_Percentage_Discount_99,Percentage_Discount,6.5,9.17,2024-08-10 01:02:55.623687,2024-09-26 01:02:55.623687,47,Low_Value,In_App,Reactivation,,0.236,19631.17,19.51
100,Reactivation_BOGO_100,BOGO,0.0,23.22,2025-07-03 00:36:04.404993,2025-08-03 00:36:04.404993,31,Low_Value,Social,Reactivation,Electronics,0.105,34801.19,6.69
101,Retention_BOGO_101,BOGO,0.0,24.94,2024-09-02 19:49:12.597868,2024-09-17 19:49:12.597868,15,All_Customers,In_App,Retention,Beauty,0.216,5234.13,20.27
102,Cross_Sell_Free_Shipping_102,Free_Shipping,0.0,0.0,2025-02-16 16:37:13.727179,2025-03-03 16:37:13.727179,15,Lapsed,SMS,Cross_Sell,,0.191,1868.43,10.87
103,Reactivation_Percentage_Discount_103,Percentage_Discount,11.9,45.66,2024-08-07 03:58:07.341318,2024-09-11 03:58:07.341318,35,Lapsed,SMS,Reactivation,,0.233,41158.42,36.33
104,Retention_BOGO_104,BOGO,0.0,16.54,2024-12-30 22:13:01.682855,2025-01-05 22:13:01.682855,6,Low_Value,Social,Retention,Books,0.148,48487.2,38.86
105,Reactivation_Free_Shipping_105,Free_Shipping,0.0,0.0,2024-08-12 19:05:03.442623,2024-09-17 19:05:03.442623,36,Low_Value,Email,Reactivation,Beauty,0.115,32561.12,8.05
106,Acquisition_BOGO_106,BOGO,0.0,,2024-12-30 06:20:49.769910,2025-01-23 06:20:49.769910,24,Lapsed,SMS,Acquisition,Beauty,0.087,15814.98,43.66
107,Cross_Sell_Fixed_Amount_107,Fixed_Amount,13.87,,2025-07-03 07:26:42.181058,2025-07-24 07:26:42.181058,21,All_Customers,Website_Banner,Cross_Sell,Home,0.213,7571.21,17.16
108,Upsell_Fixed_Amount_108,Fixed_Amount,57.8,17.96,2025-01-02 16:58:11.228947,2025-01-05 16:58:11.228947,3,Medium_Value,In_App,Upsell,Beauty,0.243,38022.59,17.22
109,Acquisition_Free_Shipping_109,Free_Shipping,0.0,31.24,2025-04-02 19:13:05.684907,2025-03-05 19:13:05.684907,28,Lapsed,Email,Acquisition,Home,0.207,48258.49,17.31
110,Reactivation_Fixed_Amount_110,Fixed_Amount,58.99,15.93,2024-11-29 09:48:24.972286,2024-12-22 09:48:24.972286,23,High_Value,SMS,Reactivation,,0.183,42377.14,21.0
111,Retention_BOGO_111,BOGO,0.0,0.0,2024-08-22 10:39:26.974766,2024-09-10 10:39:26.974766,19,Lapsed,Website_Banner,Retention,,0.099,32250.2,44.27
112,Acquisition_Free_Shipping_112,Free_Shipping,0.0,80.22,2025-02-05 10:56:07.612412,2025-02-28 10:56:07.612412,23,High_Value,SMS,Acquisition,,0.128,32244.3,7.61
113,Acquisition_Percentage_Discount_113,Percentage_Discount,39.4,99.52,2025-02-04 16:47:39.058167,2025-03-24 16:47:39.058167,48,All_Customers,Social,Acquisition,Beauty,0.187,27909.02,48.36
114,Reactivation_Fixed_Amount_114,Fixed_Amount,49.59,40.44,2024-08-25 11:36:02.144284,2024-10-04 11:36:02.144284,40,Lapsed,Email,Reactivation,Clothing,0.196,29464.52,18.52
115,Reactivation_BOGO_115,BOGO,0.0,28.66,2025-06-24 19:26:00.259899,2025-07-16 19:26:00.259899,22,New_Customer,Social,Reactivation,,0.063,24870.74,10.35
116,Upsell_BOGO_116,BOGO,0.0,20.11,2024-08-03 21:06:52.698287,2024-08-18 21:06:52.698287,15,New_Customer,In_App,Upsell,,0.169,45485.65,8.96
117,Reactivation_Free_Shipping_117,Free_Shipping,0.0,15.35,2025-06-16 17:43:08.964340,2025-08-01 17:43:08.964340,46,All_Customers,Push,Reactivation,Home,0.116,47226.65,15.92
118,Retention_BOGO_118,BOGO,0.0,82.47,2024-08-13 03:57:24.398757,2024-08-22 03:57:24.398757,9,High_Value,In_App,Retention,Electronics,0.239,42428.97,28.8
119,Acquisition_Percentage_Discount_119,Percentage_Discount,41.0,21.15,2025-01-09 04:16:27.367106,2025-02-28 04:16:27.367106,50,All_Customers,Website_Banner,Acquisition,,0.174,29944.76,44.56
120,Acquisition_Free_Shipping_120,Free_Shipping,0.0,41.6,2024-07-22 15:25:07.857182,2024-09-02 15:25:07.857182,42,Low_Value,Push,Acquisition,Home,0.12,7003.87,36.27
121,Cross_Sell_Free_Shipping_121,Free_Shipping,0.0,7.32,2025-05-20 18:51:50.799793,2025-06-05 18:51:50.799793,16,Lapsed,Website_Banner,Cross_Sell,,0.106,22201.25,31.45
122,Cross_Sell_Percentage_Discount_122,Percentage_Discount,43.0,66.43,2025-03-14 13:23:04.394434,2025-04-04 13:23:04.394434,21,Low_Value,Social,Cross_Sell,,0.209,9350.71,33.13
123,Upsell_BOGO_123,BOGO,0.0,88.14,2024-07-20 22:23:27.918437,2024-07-24 22:23:27.918437,4,New_Customer,Push,Upsell,Electronics,0.219,7710.95,47.06
124,Upsell_Free_Shipping_124,Free_Shipping,0.0,58.62,2025-06-01 19:26:20.459925,2025-06-18 19:26:20.459925,17,Medium_Value,Website_Banner,Upsell,,0.214,4386.1,16.75
125,Reactivation_BOGO_125,BOGO,0.0,70.09,2024-12-08 00:25:30.304207,2025-02-04 00:25:30.304207,58,All_Customers,Email,Reactivation,Sports,0.137,46805.89,37.73
126,Cross_Sell_Percentage_Discount_126,Percentage_Discount,13.8,0.0,2024-07-28 12:14:34.410983,2024-08-14 12:14:34.410983,17,High_Value,Email,Cross_Sell,,0.193,39101.58,27.88
127,Retention_Fixed_Amount_127,Fixed_Amount,82.17,0.0,2024-09-13 15:39:45.737251,2024-09-23 15:39:45.737251,10,High_Value,In_App,Retention,,0.112,18831.77,15.39
128,Cross_Sell_Free_Shipping_128,Free_Shipping,0.0,0.0,2025-02-26 20:05:47.033087,2025-03-16 20:05:47.033087,18,All_Customers,SMS,Cross_Sell,Books,0.182,2767.16,27.52
129,Reactivation_Fixed_Amount_129,Fixed_Amount,80.63,83.41,2024-10-15 20:14:08.429559,2024-11-23 20:14:08.429559,39,High_Value,In_App,Reactivation,Sports,0.203,47305.96,28.35
130,Acquisition_Percentage_Discount_130,Percentage_Discount,23.3,7.19,2024-11-08 06:39:10.982681,2024-12-29 06:39:10.982681,51,Medium_Value,Website_Banner,Acquisition,,0.187,27607.31,39.62
131,Upsell_Fixed_Amount_131,Fixed_Amount,60.44,34.58,2025-05-27 04:23:47.530795,2025-06-08 04:23:47.530795,12,New_Customer,SMS,Upsell,,0.057,31407.69,46.99
132,Reactivation_Percentage_Discount_132,Percentage_Discount,20.6,60.82,2024-08-18 22:00:16.244268,2024-10-06 22:00:16.244268,49,Medium_Value,Website_Banner,Reactivation,,0.064,6509.21,16.22
133,Cross_Sell_Free_Shipping_133,Free_Shipping,0.0,15.08,2024-10-26 22:11:08.290169,2024-10-31 22:11:08.290169,5,All_Customers,In_App,Cross_Sell,Books,0.093,33789.44,14.77
134,Upsell_Percentage_Discount_134,Percentage_Discount,18.8,58.06,2024-12-24 14:08:13.442289,2025-01-01 14:08:13.442289,8,New_Customer,Social,Upsell,,0.213,48291.23,42.79
135,Retention_Free_Shipping_135,Free_Shipping,0.0,0.0,2024-10-25 17:52:06.744647,2024-11-01 17:52:06.744647,7,Low_Value,Push,Retention,Electronics,0.207,20748.69,27.81
136,Acquisition_Free_Shipping_136,Free_Shipping,0.0,0.0,2025-03-04 19:21:01.452626,2025-03-23 19:21:01.452626,19,New_Customer,Social,Acquisition,,0.149,25574.86,26.58
137,Upsell_Fixed_Amount_137,Fixed_Amount,48.3,15.01,2025-08-24 22:25:28.745084,2025-09-10 22:25:28.745084,17,High_Value,Email,Upsell,,0.092,18233.76,29.67
138,Upsell_Free_Shipping_138,Free_Shipping,0.0,8.8,2025-05-24 03:47:25.429162,2025-06-12 03:47:25.429162,19,Low_Value,Email,Upsell,,0.051,47915.72,38.86
139,Retention_BOGO_139,BOGO,0.0,45.28,2024-07-14 01:04:37.823404,2024-07-29 01:04:37.823404,15,New_Customer,Push,Retention,Sports,0.216,3807.73,7.09
140,Upsell_BOGO_140,BOGO,0.0,55.25,2025-04-04 03:05:24.193532,2025-04-07 03:05:24.193532,3,Lapsed,Email,Upsell,,0.168,26753.16,36.17
141,Acquisition_BOGO_141,BOGO,0.0,,2025-03-31 00:54:00.368679,2025-05-14 00:54:00.368679,44,Low_Value,Email,Acquisition,,0.105,45837.01,11.81
